We are confusing regulation with policy. ||| Anyị na-ewehie ndozi dịka iwu
NCC is also saddled with the responsibility of promoting fair competition in the communications industry and protection of services and facilities providers from misuse of market power or anti-competitive and unfair practices by other service or facilities providers or equipment suppliers; and the responsibility to general responsibility of the Commission for economic and technical regulation of the communications industry. ||| NCC bụkwa ndị enyere ọrụ ịhụ maka ikwalite ezigbo asọmụmpi n'ụlọọrụ ịkpọ oku na nchekwa ozi na  ndị na-eweta akụrụngwa n'iwehie ike ahịa ma ọbụ ịgba mgba megide asọmụmpi na omume adịghị mma site n'aka ndị ozi ma ọbụ ndị mweta akụrụngwa, na ọrụ nke ọrụ gburugburu nke Kọmishọn maka akụnaụba na nchịkwa akụrụngwa nke ụlọọrụ nzisa ozi 'Commission for economic and technical regulation'
To many Nigerians, the use of USSD sounded new, but checks by The Guardian showed that the initiative has been in effect since 2014. ||| N'ebe ọtụtụ ndị Naịjirịa no, iji USSD bụụrụ ha ihe ọhụrụ, mana nnyocha sitere n'aka Guardian gosiri na amụma a dịrịị ire kamgbe afọ 2014.
This initiative, however, got a boost this year, when the NCC did a determination report on it. ||| Amụma a, etu ọ dị, nwetara iri elu n'afọ a , mgbe ndị NCC nyere mkpesa Mkpebi maka ya.
The report obtained from NCC’s website termed ‘Determination of USSD Pricing,’ dated July 23, 2019, and signed by the Executive Vice Chairman of the Commission, Prof. ||| ozi mkpesa enwetara n'aka ọwa ozi ikuku  nke NCC akpọrọ Ụgwọ Mkpebi nke USSD 'Determination of USSD Pricing'  nke edere ụbọchị iri abụọ na atọ nke ọnwa Julaị afọ 2019 ma burukwa mbinye aka nke Osote Onyeisi Ukwu nke Kọmishọn ahụ, Ọkammụta 
Umar Danbatta, revealed, among other things, that a USSD session is 20 seconds; the cost of a USSD session is N1. ||| Umar Danbatta, gosipụtara na n'etiti ihe ndị ọzọ, na agba USSD bụ tịnkọm iri abụọ, ọnụ agba USSD bụ otu Naịra
63K the price floor for a 20 seconds USSD service is N1. ||| 63k ebe ọnụ ala maka tịnkọm agba USSD iri abụọ bụ otu Naịra  
63k while price cap for a 20 Seconds USSD Session is N4. ||| 63k ebe ọnụ elu maka tịnkọm agba USSD iri abụọ bụ Naịra anọ 
The Determination document envisaged the implementation of the USSD charges by the mobile network operators (MNOs) to take effect from September 1, 2019, and remains valid and binding on licensees. ||| Akwụkwọ mkpebi ahụ tinyere mmalite nke nha USSD site n'aka ndị ọrụ netiwọk ekwentị 'mobile network operators' (MNOs) imalite n'ụbọchị mbụ nke ọnwa Sepụtemba n'afọ 2019 ma gaa n'ihu ịdị ire nye ndị enyere ikike ahụ.
However, Whether the MTN took official permission before its announcement to its customers remains unclear, as telecoms licensees are obligated to always get official approval/permission of the regulator before going to market to introduce any new tariff or pricing regime to their subscribers. ||| Etu ọ dị, ma ndị MTN anatara ikike n'ụzọ ziri ezi tutu ha maa ọkwa nye ndị ahịa edobeghị anya, ka ndị ọrụ akpọm oku kwesiri ịnata ikike ziri ezi site n'aka ndị nlekọta tutu ha abanye ahịa tinye ụgwọ ọhụrụ nye ndị ahịa ha.
The legal document also notes that “the Commission reserves the right to amend and review this Determination at any time, as well as to consider other options to incentivise the communications industry,” and not the ministry. ||| akwụkwọ iwu ahụ kwukwara na kọmịshọn nwere ikike imenwo ma megharịa Mkpebi ahụ oge ọbụla, ma lelekwaa ohere ndị ọzọ iji wulie ụlọ ọrụ akpọm oku, ma ọbụghị ụlọ ozi.
It further states that such a review may be necessitated by major change in the market conditions and/or the underlining principles of this Determination. ||| ọ gara n'ihu kwuo na ụdị nnyochagharị bụ nke oke mgbanwe n'ọnọdụ ahịa na ụzọ ọrụ nke Mkpebi ahụ
In the formulation of this Determination, it was gathered that the banks had applied to the NCC for USSD codes for their mobile transactions, where they were now directed to the Mobile Network Operators (MNOs) independently. ||| na mmebe Mkpebi nke a, emere ka a mata na ụlọakụ edeela akwụkwọ gara ndị NCC maka akara USSD nke eji akwụ ụgwọ site n'ekwentị, ebe enyere ha ikike ugbua nyere Mobile Network Operators (MNOs) nke nọọrọ onwe ya.
Meanwhile, ALTON’s accounts of how the USSD usage by the banks began and the support of the Commission in allowing the banks to use the USSD platform to facilitate digital financial inclusion is also revealing in the document obtained by The Guardian. ||| Etu ọ dị, akaụntụ ALTON etu esi eji USSD site n'aka ndị ụlọakụ malitere na nkwado nke kọmịshọn n'inye ndị ụlọakụ ikike iji USSD wee kwalite ntinye ego dijital na-egosi n'akwụkwọ nke Guardian nwetara.
According to ALTON, while telecommunication services and infrastructure became more accessible in the country, the banks identified the USSD channel as a cost-efficient way of delivering financial services to their customers. ||| Site n'aka ALTON, ebe ozi ọkpụkpọ oku ekwentị na arụrarụ bụ na-eruzi aka n'ala a, ndị ụlọakụ gosipụtara ọwara USSD dịka ụzọ dị ọnụ ala eji ezije ozi ego nye ndị ahịa ha.
“The banks subsequently applied for and were granted USSD shortcodes to deliver financial services to bank customers by the Nigerian Communications Commission (“the Commission”). ||| ndị ụlọakụ dere akwụkwọ ma nweta mkpụmkpụ akara USSD maka izije ozi ego nye ndị ahịa ụlọakụ site n'aka ndị Nigerian Communication Commission (the Commission).
‘‘At the nascent stage of USSD development for the financial services sector, the billing mode adopted by our members was to charge the telecommunications service consumer directly, which is referred to as end-user billing. ||| N'oge mbilite nke mwuli USSD maka ngalaba ozi izije ego, ụzọ ịkwụ ụgwọ nke ndị otu anyị nabatara bụ ịna ndị ahịa telecommunication ozi n'aka ha, nke ana akpọ ịkwụ ụgwọ ngwụcha-onye ọrụ.
Green House won the track events while White House won in football match. ||| Ụlọ akwụkwọ ndụ meriri n'egwuregwu ọwara ebe Ụlọ akwa ọcha meriri n'egwuregwu bọọlụ ụkwụ
The body also said the banks also used this channel to grow significant revenues running into billions of Naira in view of the large disparity between the cost charged by its members and the charge imposed by the banks on their customers. ||| Ụlọ ọrụ kwukwara na ụlọakụ na-esi n'ụzọ dị etua enweta akatamkpo ego ruru ijeri naịra na ndị n'etiti ego ndị otu ya na-ana na ego ndị ụlọakụ na-ana ndị ahịa ha
For instance, data from the Nigerian Inter-Bank Settlement System (NIBSS) showed that between January and March 2019, USSD-based transactions conducted through mobile money by some 2.3 million customers averaged 41.1 million valued at N810 billion worth of transactions. ||| ọmụmaatụ, data si na Nigeria Inter-Bank Settlement System (NIBSS) gosiri na site n'ọnwa Jenụwarị rue Maachị afọ 2019, azụmahịa nke gbadoro ụkwụ na USSD emere site ego ekwentị n'aka ndị ahịa nde 2.3 opekata mpe nde 41.1 nke nyere azụmahịa ijeri narị naịra asatọ na iri. 
Onitsha, Feb. 25, 2020 (MOI) Managing Director, Chief Executive Officer  (CEO), National Inland Waterways Authority (NIWA), Mr George Moghalu, says he will strive to make the Onitsha River Port functional during his tenure. ||| Ọnịcha, abalị iri abụọ na ise nke ọnwa Febụwarị n'afọ 2020 (MOI) Onye Nlekọta, Onyeisi Kpatakpata 'Chief Executive Officer  (CEO), National Inland Waterways Authority (NIWA), Maazị George Moghalu, kwuru na ọ ga-agba mbọ hụ na Ọdụ ụgbọ Mmiri nke Ọnịcha malitere rụwa ọrụ n'ọchịchị ya.
This, alone, according to industry watchers, indicates the high volume of USSD-based transactions that are enabled monthly by the MNOs’ infrastructure. ||| Naanị nkea, site n'aka ndị nche ụlọọrụ ahụ, gosiri oke azụmahịa nke gbadoro ụkwụ na USSD nke ana eme kwa ọnwa site n'aka arụrarụ ndị MNOs'
ALTON noted that these new services continued to place a strain on its members’ network resources, which resulted in their continued and further investments to ensure that the SDCCH channel was dimensioned to handle the increased traffic as a result of the new banking services being deployed on it. ||| ALTON kwupụtara na ozi ọhụrụ ndịa na-etinye nhịam ahụ na ihe nnweta netịwọk ndị ọrụ ya, nke mere ka ha na-etinye ego gaa n'ihu iji hụ na ọwara SDCCH bụ nke emebere ka ọ jide nrigo nke trafiik nke ntinye n'ije ozi ọhụrụ ụlọakụ kpatara
The telecoms body pointed out that services provided by the banks constitute a minimum of 90 per cent of the total traffic on the USSD channels of its members. ||| ndị ọrụ nke telecoms kwuru na ozi nke ụlọakụ na-eje, mebere opekata mpe pasentị iri iteghete nke mkpokọta njem n'ọwara USSD nye ndị ọrụ ya
However, since the suspension of the USSD charges by the Ministers, no authority has stopped the banks from charging customers an amount ranging from N10- N50, according to ALTON and confirmation by sources within the banking industry. ||| etu ọ dị, kamgbe a kwụsịrị ụgwọ ọrụ nke USSD site n'aka Mịnịsta, enwebeghị ikike kwụsịrị ndị ụlọakụ ịna ndị ahịa ha ego ọrụ site na naịra iri rue naịra iri ise, site na ALTON na nkwupụta nke si n'aka ndị nọ n'ọrụ ụlọakụ
New images have surfaced of what really happened during the September pressure testing of Boeing’s new 777X aircraft. ||| ọtụtụ ihe ngosi ọhụrụ egosila ihe merenụ n' ọnwa Sepụtemba n'oge nrụgide nnyocha ụgbọelu ọhụrụ 777X nke Boeing
September’s pressure test was widely reported to have failed, with a cargo door being blamed for the issue. ||| Nnyocha nrụgide nke ọnwa Sepụtemba bụ nke ekpesala na ọ gaghị nke ọma, nke ụzọ ibu bụ nke atara ụta maka nsogbu ahụ
Now, it seems that the situation was a lot more serious than that. ||| Ugbua, ọ dị ka ọnọdụ ahụ adị njọ karịa etu ahụ
According to reports, it wasn’t just the door that ruptured, but the entire fuselage!. ||| site na mkpesa ndị ahụ, ọ bụghị naanị ụzọ nwere nsogbu, ma ọ bụ ọdụ ibu na ndị njem niile
Earlier reports that a cargo door blew out are not entirely unfounded. ||| mkpesa nke gboo kwuru na ụzọ ebe ibu dị fepụrụ abụghị eziokwu
Apparently the fuselage skin ripped open just behind the wing, and as such a passenger door was dislodged and fell to the factory floor. ||| etu ọ dị, akụkụ ebe ọdụ ibu na ndị njem hekepụrụ n'azụ nku ya,  ma ụzọ ndị njem dakapụrụ ma daa n'ala ụlọ mmepụta
The damage is clearly far worse than originally revealed; the test aircraft is a complete write-off. ||| mmebi ahụ dị njọ karịa etu esiri kpesa ya na mbụ; nnyocha ụgbọelu  bụ nke adabaghị ma ọlị
Of the incident, Boeing spokesperson, Paul Bergmanm, explained that in the final load testing of the 777X static test airplane, the team conducted a test that involves bending the wings of the airplane up to a level far beyond anything expected in commercial service. ||| n'ihe mberede ahụ, onye na-ekwuchitere ndị Boeing, Paul Bergmanm, kọwara na nnyocha mbunye nke ikpeazụ nke nnyocha otu ebe nke ụgbọelu 777X, ndị otu ọrụ ahụ mere nnyocha nke gunyere ịrọji nku ụgbọelu ahụ rue n'ogogo karịrị ihe ọbụla atụrụ anya n'azụmahịa ozi
“A testing issue occurred during the final minutes of the test, at approximately 99 per cent of the final test loads, and involved a depressurisation of the aft fuselage. ||| nsogbu nnwale mere n'oge ngwụcha nnwale, n'ihe dịka pasentị iri iteghete na iteghete nke ngwụcha nnwale, ma tinyere mmebi ebe ndị njem na ibu na-adị n'ụgbọelu
The test team followed all safety protocols. ||| ndị otu nnwale soro ụzọ nzere niile
“As we shared on our October 23 earnings call, our root cause assessment continues, and we are pleased with the progress we are making as we complete our detailed analysis. ||| dịka anyị kwuru na akpọmoku anyị n'ụbọchị iri abụọ na atọ nke ọnwa Ọktoba, nnyocha nke awara anyị ka na aga n'ihu, obi dịkwa anyị mma n'ihi ọganiihu anyị nwetarala dịka anyị na-achịkọta nhazi anyị
What we’ve seen to date reinforces our prior assessment that this will not have a significant impact on the design or our preparations for first flight. ||| ihe anyị hụrụla rue ụbọchị taa emonwoola nnyocha anyị na nke a agaghị eweta mgbanwe na mwewe  ma ọbụ nkwado ụgbọelu nke mbụ
We do not see any impact from the test on the overall program schedule. ||| anyị ahụghị ihe mgbanwe ọbụla site na nnyocha nke gburugburu e tinyere
“On the call, we did update our target for first delivery from late 2020 to early 2021. ||| n'oku ahụ, anyị menworo ihe nlegara anya anyị maka nnyefe mbụ site na ngwụcha afọ 2020 rue mmalite afọ 2021
As we’d said for some time, there had been significant risk to the late 2020 timeline. ||| dịka anyị kwurula ọtụtụ oge, e nweela ihe ize ndụ nye ngwụcha oge 2020
What changed is that we now have a clearer understanding of how the GE9X engine issue has impacted the details of our flight test program. ||| ihe gbanwere bụ na anyị enweela ezigbo nghọta etu nsogbu injin GE9x sirila metuta mputara zuru ezu nke omume nnyocha ụgbọelu anyị
For example, the timing of engines for the remaining flight test airplanes will affect when they begin flying, which in turn affects our detailed test schedules. ||| ọmụmaatụ, itinye oge nke injin maka nnyocha ụgbọelu ga-emetuta mgbe ha malitere fewe, nke ga-emetuta oge nnyocha anyị zuru ezu
When we account for all these factors, we expect to fly in early 2020 deliver in 2021. ||| ka anyị na-achịkọba ihe nkpata ndị a niile, anyị na-atụ anya ife na mmalite afọ 2020 ma nyefee n'afọ 2021
Saturday 21st of May 2016, The Great Hall, Kensington, London, hosted Africa’s largest awards ceremony for Women in Europe and the Commonwealth. ||| Satọde abalị iri abụọ na otu nke ọnwa Mee afọ 2016, 'The Great Hall, nke Kensington dị na mba London, chịkọbara emume inye onyinye nke bukarịsịrị n'ibu nye ụmụ nwaanyị nke mba Europe na ndị Commonwealth
In its fifth year Women4Africa is steadily growing its vision of elevating the ordinary African woman doing extraordinary things. ||| n'afọ nke ise ya, Ụmụ nwaanyị maka Afịrịka na-eto n'ike n'ike n'ọhụ nke iwuli nwaanyị nkịtị nke Afịrịka ime ihe ọpụrụ iche
The Special guest of honour and Special Woman award recipient was Mrs Aisha Buhari. ||| Onye ọbịa ugwu nke pụrụ iche na onye nrite onyinye nwaanyị pụrụ iche bụ Odoziakụ Aisha Buhari
She was ably represented by an official delegation of three governors’ wives led by Mrs Florence Ajimobi wife of the Oyo state governor, accompanied by the Wife of the governor of Ebonyi State Mrs Umahi and Zamfara state Mrs Yari. ||| A nọchitere anya ya site n'iwepụta nwunye ndị gọvanọ atọ nke  onye ndu ha bụ Odoziakụ  Florence Ajimobi nwunye gọvanọ nke steeti Ọyọ, ndị so ya bụ nwunye gọvanọ nke steeti Ebonyi bụ Odoziakụ Umahi na steeti Zamfara bụ Odoziakụ Yari.
Also in attendance was The Senior Special Advisor to the President on foreign and diaspora affairs. ||| Ọzọkwa, Onye Mgbazi Ọnụ Ukwu nke Onyeisi ala n'ihe banyere mba ofesi na mba dị anya, bịara
Hon Abike Dabiri-Erewa. ||| Hon Abike Dabiri-Erewa.
Founders of Women4Africa Sam and Tola Onigbanjo were delighted at the kind gesture of Mrs Buhari and in response to her official statement read vowed to keep on elevating “The continent of Africa and its amazing Women”. ||| ndị chọpụtara Ụmụnwaanyị maka Afịrịka Sam na Tola Onigbanjo nwere obi ụtọ etu Odoziakụ Buhari na ihe ngụpụta ya siri kwue iwuli "Mba Afịrịka na ụmụ nwaanyị ọma ya"
While speaking about homeland security, George “Gaffe” Bush once said, “I just want you to know that, when we talk about war, we’re really talking about peace. ||| mgbe ọ na-ekwu maka nchekwa nke ala, George 'Gaffe' Bush kwururị, "Achọrọ m ka ị mara na mgbe ọbụla anyị na-ekwu maka agha, anyị na-ekwurị maka udo"
``Sports and culture elongates life; nurture health and one can earn a living from it too.’’ ||| egwuregwu na omenaala na-eme ka ndụ too ogologo, ewuli ahụike na mmadụ gana-enweta ego site na ya
Well, in contrast, I just want you to know that when we talk about gender, we’re really talking about gender. ||| na njụ, achọrọ m ime ka ị mara na mgbe anyị na-ekwu maka mbụrụ, anyị na-ekwu maka mbụrụ n'ezie
Which is to say, we are not just talking about women. ||| nke pụtara na anyị anaghị ekwu naanị banyere nwaanyị
Most people wrongly associate gender issues with women’s issues. ||| imirikiti mmadụ na-ewehie okwu banyere mbụrụ nyere okwu nwaanyị
I recall doing a degree in Gender Studies and when people asked what I was studying and I replied gender, they would nevertheless proceed to ask, “So, what is women’s studies about?”. ||| echetara m ịgụ akwụkwọ n'ihe gbasara Okike ma mgbe ndị mmadụ jụrụ m ihe m na-agụ, m zaa ha Okike, ha ga-aga n'ihu ịjụ, "Ya mere, gịnị bụ isi agụmaakwụkwọ ụmụ nwaanyị a?"
It was baffling. ||| ọ nyeghị ọnụ okwu
In actual fact I was not interested in women’s studies alone or I would have chosen that course. ||| etu ọ dị, enweghị mmasị naanị n'ihe banyere amụmamụ ụmụ nwaanyị ma ọbụ agaara m ịhọrọ ngalaba agụmaakwụkwọ ahụ.
Instead, I chose to study gender because I am interested in masculinity and femininity, in gender norms attributed to the male and female sexes, in the interaction – the never-ending conflicts and also the opportunities to live together harmoniously – caused by gender roles. ||| kama, ahọọrọ m ịgụ okike n'ihi na enwere m mmasị n'ihe banyere oke na nne, ụdị okike nke enyere nwoke na nwaanyị, na mkparịtaụka-agha anaghị ebi ebi na ohere ibikọrịta n'udo-nke ọrụ okike na-ebute.
What are those roles? The answer depends on many things, including the particular environment that you find yourself in. ||| Gịnị bụ ọrụ ndịa? azịza ya danyere n'ọtụtụ ihe, nke gunyere na gburugburu ebe ị hụrụ onwe gị
In a country like Nigeria, gender roles not only vary from region to region but they’re also shaped by our tetchy colonial past, and the education and religion that came with that predicament. ||| na mba dịka Naịjirịa, ọrụ okike abụghị naanị na ọ nwere ndịịiche site n'mpaghara rue mpaghara ma ha bụ nke ndị dọọrọ anyị n'agha tinyere n'ime anyị, ma agụmaakwụkwọ na okpukpe, ha ji ihe ihujuanya ahụ bịa
Nigeria is one of the few countries in the world where, for example, women have reigned not only as queens but as kings. ||| Naịjirịa bụ n'ime mba olenaole n'ụwa ebe, ọmụmaatụ, ụmụ nwaanyị achịala ọ bụghị naanị dịka eze nwaanyị ma dịka eze 
In fact, female kings such as Ahebi Ugbabe who ruled Igala in Igboland in the twentieth century are arguably a precursor to transgender (people who express their gender outside of the norm) discussions today. ||| Etu ọ dị, ndị eze nke nwaanyị dịka Ahebi Ugbabe nke chịrị Igala n'ala Igbo na senchịrị iri abụọ bụ ana agbagha na ọ bụ nwaanyị ghọọrọ nwoke (mmadụ ndị jiiri mbụrụ gafee etu e siri dote ya) mkparịtaụka nke ụbọchị taa
However, Nigeria is also a country where, to give another example, if you are male you can pass your nationality to a non-Nigerian female through marriage. ||| etu ọ dị, Naịjirịa bụkwa ala ebe, inye ọmụmaatụ ọzọ, ọ bụrụ na ị bụ nwoke, ị ga-aghọ onye mba ọzọ site n'alụmdi
If on the other hand you are a Nigerian female, by all means set your eyes on a non-Nigerian husband, but our legislation will always consider your marriage as one to a foreigner. ||| ọ bụrụ na n'aka nke ọzọ n'ịbụ nwaanyị Naịjirịa, ma na-ele anya di abụghị onye Naịjirịa, iwu anyị ga-ewe alụmdi gị dịka nke ndị ọbịa.
If you are female, gender roles such as housewife, the weaker sex, the shrinking violet, the bimbo etc. ||| ọ bụrụ na ị bụ nwaanyị, ọrụ mbụrụ dịka ịbụ nwunye ụlọ, onye nke nwere ntakịrị ike, nke na-akpọnwụ akpọnwụ, dzg.
may be used to describe you. ||| ka aga eji kọwaa gị
If you are male, the roles of provider, macho man, gentleman or rational thinker may be attributed to you. ||| ọ bụrụ na ị bụ nwoke, ọrụ na-eweta ihe, nwoke zuru oke, nwoke dị umeala ma ọbụ nke na-eche echiche dabara adaba ka aga eji kọwaa gị
Furthermore, although gender norms are limiting for both sexes (e. ||| n'ịganiihu, agbanyeghị ihe banyere okike na-ejedebe n'etiti oke na nne
g. ||| ọmụmaatụ
men should never be vulnerable and women should never be bossy yada yada yada) since most powerful traits are seen to be masculine, if you are a woman there is perhaps even more of an incentive to define womanhood for yourself. ||| nwoke agaghị ada mba ma nwaanyị agaghị abụ onyeisi ebe ihe banyere ike bụ nke atụnyeere nwoke, ọ bụrụ na ịbụ nwaanyị enwere ihe ndị ọzọ aga eji kọwaa ịbụ nwaanyị nyere gị
So why is all of this political? After all the column is “Gender Politics”. ||| ya mere, gịnị mere ihe ndịa niile jiri bụrụ ndọrọndọrọ? Mana ederede ahụ bụ 'Ndọrọndọrọ Okike'
Well, for three primary reasons. ||| ọ dị mma, maka ihe mbutere atọ
Firstly, precisely because gender and power are closely linked. ||| Nke mbụ, maka na ịbụ okike na ike bụ nke nwere njikọ
Secondly, because maleness and power are also closely linked. ||| Nke abụọ, maka na ịbụ oke na ike bụ nke nwere njikọ
And thirdly, because the first two points cause problems. ||| Nke atọ, maka na isiokwu abụọ ndị mbụ wetara nsogbu
You may like to read the column regularly. ||| Ị ga-ekwesi ịdị na-agụ ederede a mgbe niile
Not because the author is claiming, like any good salesperson, that it will gain you great relationships, a happy life, prosperity and mind-blowing sex. ||| Ọ bughị na odee na-ekwesi ike, dịka onye nkwuchite ọnụ, na ọ ga-ewetara gị ezigbo mmekọrịta, ndụ dị ụtọ, akụnaụba na mmekọahụ bụ ịgba
In all honesty, I doubt reading this column will bring you any closer to that. ||| N'obi eziokwu niile, ekwenyeghị m na ịgụ ederede a ga-eweta gị nso nke ahụ
(And if against the odds it does, please at least buy me dinner. ||| ma ọ bụrụrị na nke a emee, biko zụtara m nri abalị
Chairman of the Occasion, Dr Stanislaus Igbokwe said that without sports and culture, a nation was not complete. ||| Onyeisi mmemme ahụ, Dr. Stanislaus Igbokwe kwuru na ewepụ egwuregwu na omenaala, obodo ezughị oke.
But my column may give you a greater understanding of how gender norms shape our realities. ||| mana ihe ederede m ga-enye gị ezigbo nghọta etu mbụrụ siri emetuta ọdịdị anyị
It may cause you to marvel, as I do, at the social, sexual and cultural roles between genders and how those relate to our inner sense of power as well as to political structures. ||| ọ nwere ike mee tụọ gị n'anya, na mmekọrịta, mmekọtaahụ n'oke  omenaala n'etiti oke na nne na etu ndị metutara akọnauche  nke ike anyị dịka ike ndọrọndọrọ.
And that in return may have a positive effect. ||| ma nke a nwere ike iweta ezigbo mgbanwe
At the very least, we can quarrel about all things gender-related and that’s always a blast (or not). ||| N"ọpekata mpe, anyị ga-enwe esemokwu n'ihe banyere okike ma nke a na-adịkarị egwu (ma ọbụ ghara)
One more thing for now. ||| otu ihe ka ọ fọdụrụ ugbua
If you thought that there are only two genders you are mistaken. ||| ọ bụrụ na i chere na enwere naanị ụdị okike abụọ, ị cheghị nke ọma
There are numerous, seventy-one (at least) according to the pre-populated list that Facebook users can choose from when choosing a gender identity. ||| ha buru ibu n'ọnụ ọgụgụ, iri asaa na otu (opekata mpe) dịka nnukwu ọnụ ọgụgụ nke ndị Fesibuuku na-ahọrọ oge ọbụla ha chọrọ ịhọrọ mbụrụ ha.
That said, the main focus in my column is gender politics as it relates to women and men. ||| nke kwuru, isiokwu m n'ederede m bụ ndọrọndọrọ okike , etu o siri metuta  nwaanyị na nwoke.
ANAMBRA GOVERNMENT, I HAIL YOU ON SECURITY By Regina Igwebuike ||| GỌỌMENTỊ ANAMBRA, EKELEE M UNU MAKA NCHEKA site n'aka Regina Igwebuike
``Sports and culture elongates life; nurture health and one can earn a living from it too.’’ ||| egwuregwu na omenaala na-eme ka ndụ too ogologo, ewuli ahụike na mmadụ gana-enweta ego site na ya
Chairman of the Occasion, Dr Stanislaus Igbokwe said that without sports and culture, a nation was not complete. ||| Onyeisi mmemme ahụ, Dr. Stanislaus Igbokwe kwuru na ewepụ egwuregwu na omenaala, obodo ezughị oke.
Patron of Green House, which took overall 1st position in the field/track events, Mr Paul Okpala Akuluono pleaded with state government to harness sports talents from school children. ||| Onye nlekọta Ụlọ nke Akwụkwọ ndụ, nke gbara ndị nke mbụ n'emume ama egwuregwu/ọwara, Maazị Paul Okpala Akuluono rịọrọ gọọmentị  nke steeti ka ha nwapụta onyinye amara nke egwuregwu n'ebe ụmụ akwụkwọ nọ.
Another House patron, Prince Augustine Udoh said that work and play make for balanced growth of a child, stressing that parents should not relinquish children’s training to teachers. You should start fighting vices from home. ||| Onye nlekọta ụlọ ọzọ, Prince Augustine Udoh kwuru na ịrụ ọrụ na egwuregwu na-eme ka nwata too nke ọma, kwusie ike ka nne na nna ghara ịhapụrụ naan' ndị nkuzi ọzụzụ ụmụaka. Ị ga-amalite ibu agha megide ịkpa aghara site n'ụlọ.
``We solicit for sponsors’ support in facilitating acquisition of sporting playgrounds. Also, the nature of our terrain has led us to pave the school compound with inter-locking stones,’’ Adawai said. ||| Anyị na-arịọ enyemaka maka ndị ga-enye anyị nkwado inweta ama egwuregwu. Ọzọkwa, ụdị gburugburu anyị nwere,mere ka awụọ mkpume n'ala ya niile, ka Adawai kwuru
Most Rev. Paulinus Ezeokafor, Catholic Bishop of Awka Diocese has praises Anambra State Government for using its security apparatus to track two Awka Diocesan priests kidnapped last year in Ondo State. ||| Most Rev. Paulinus Ezeokafor, Bishop nke Dayosis Katọlik dị n'Ọka etoola gọọmentị steeti Anambra maka iji akụrụngwa nchekwa nyochaa maka ndị Ụkọchukwu abụọ atọọrọ n'afọọ gara aga na steeti Ondo
